Age,Gender,MaritalStatus,EducationLevel,EducationBackground,JobRole,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,TotalWorkExperienceInYears,ExperienceYearsInCurrentRole,PerformanceResult
Main labor group,Female,Single,Bachelor,Medical,Developer,High,Medium,Good,Gold range,no exps,Outstanding
Middle-aged labor group,Female,Single,Bachelor,Life Sciences,Developer,Medium,Very High,Better,Copper range,no exps,Meet Expectation
Middle-aged labor group,Male,Married,Bachelor,Life Sciences,Developer,Medium,Very High,Good,Silver range,Silver range,Meet Expectation
Main labor group,Male,Divorced,Bachelor,Life Sciences,Developer,Low,High,Good,Gold range,Copper range,Meet Expectation
Middle-aged labor group,Female,Married,Bachelor,Marketing,Sales Executive,High,Low,Best,Silver range,Silver range,Meet Expectation
Old labor group,Male,Single,Below College,Medical,Sales Executive,High,High,Good,Gold range,Silver range,Meet Expectation
Middle-aged labor group,Male,Married,College,Life Sciences,Developer,Medium,High,Better,Diamond range,Copper range,Meet Expectation
Main labor group,Male,Divorced,Below College,Technical Degree,Developer,High,Medium,Better,Silver range,Silver range,Meet Expectation
Main labor group,Male,Single,Bachelor,Other,Developer,High,Medium,Best,Gold range,Copper range,Outstanding
Main labor group,Female,Married,Master,Marketing,Sales Executive,Medium,Low,Better,Silver range,Silver range,Meet Expectation
Main labor group,Female,Married,College,Medical,Developer,High,Low,Better,Silver range,Silver range,Meet Expectation
Main labor group,Male,Married,Bachelor,Medical,Developer,Very High,High,Good,no exps,no exps,Meet Expectation
Old labor group,Female,Married,Master,Marketing,Manager,Low,High,Good,Diamond range,Silver range,Meet Expectation
Middle-aged labor group,Male,Single,Bachelor,Medical,Developer,Very High,Very High,Good,Silver range,Copper range,Meet Expectation
Main labor group,Male,Single,Below College,Medical,Developer,Low,High,Good,Silver range,Copper range,Meet Expectation
Main labor group,Female,Single,Below College,Medical,Senior Developer,High,Very High,Good,Silver range,Copper range,Meet Expectation
Main labor group,Male,Married,College,Life Sciences,Sales Executive,Medium,Very High,Good,Gold range,Gold range,Meet Expectation
Old labor group,Female,Married,College,Marketing,Sales Executive,Low,Very High,Better,Diamond range,Copper range,Meet Expectation
Middle-aged labor group,Male,Divorced,Bachelor,Marketing,Sales Executive,Very High,High,Better,Gold range,Copper range,Meet Expectation
Main labor group,Female,Married,College,Medical,Developer,High,High,Good,Silver range,Copper range,Meet Expectation
Main labor group,Male,Divorced,Master,Marketing,Sales Executive,Very High,Very High,Better,Silver range,no exps,Meet Expectation
Main labor group,Male,Divorced,College,Medical,Human Resources,Medium,Very High,Better,Silver range,Copper range,Meet Expectation
Young labor group,Male,Married,College,Life Sciences,Senior Developer,Very High,Low,Bad,Copper range,Copper range,Meet Expectation
Middle-aged labor group,Male,Married,Master,Life Sciences,Developer,Low,High,Good,Silver range,Copper range,Meet Expectation
Middle-aged labor group,Male,Single,Below College,Medical,Senior Developer,Medium,Very High,Better,Silver range,Copper range,Meet Expectation
Main labor group,Male,Married,Bachelor,Life Sciences,Human Resources,Low,High,Better,Silver range,Copper range,Meet Expectation
Main labor group,Male,Married,Below College,Other,Sales Executive,High,Very High,Better,Copper range,Copper range,Meet Expectation
Main labor group,Female,Divorced,Master,Life Sciences,Developer,Very High,Low,Good,Silver range,Copper range,Meet Expectation
Main labor group,Male,Divorced,Bachelor,Life Sciences,Developer,Very High,Medium,Better,Copper range,no exps,Meet Expectation
Middle-aged labor group,Female,Married,Bachelor,Technical Degree,Data Scientist,High,Medium,Better,Silver range,Copper range,Meet Expectation
Young labor group,Male,Married,Below College,Life Sciences,Senior Developer,Low,Very High,Good,Silver range,Copper range,Meet Expectation
Main labor group,Male,Married,College,Life Sciences,Sales Executive,Medium,Very High,Better,Silver range,Silver range,Meet Expectation
Main labor group,Male,Married,Bachelor,Marketing,Sales Representative,Medium,Very High,Better,Copper range,Copper range,Meet Expectation
Main labor group,Male,Married,Master,Life Sciences,Senior Developer,Very High,Medium,Better,Silver range,Copper range,Meet Expectation
Old labor group,Male,Married,Bachelor,Marketing,Sales Executive,Low,High,Better,Diamond range,no exps,Meet Expectation
Main labor group,Female,Married,College,Medical,Sales Representative,High,Medium,Better,Silver range,Copper range,Meet Expectation
Old labor group,Female,Single,Master,Life Sciences,Developer,Very High,High,Better,Diamond range,Silver range,Meet Expectation
Middle-aged labor group,Female,Married,Bachelor,Life Sciences,Developer,Very High,Medium,Good,Gold range,Copper range,Meet Expectation
Middle-aged labor group,Female,Married,College,Marketing,Sales Executive,High,Low,Better,Silver range,Silver range,Exceed Expectation
Main labor group,Male,Single,College,Medical,Sales Executive,Low,Very High,Better,Silver range,no exps,Meet Expectation
Middle-aged labor group,Male,Divorced,Master,Life Sciences,Developer,Low,Very High,Better,Diamond range,Silver range,Meet Expectation
Main labor group,Female,Married,Bachelor,Life Sciences,Human Resources,Very High,High,Better,Gold range,Copper range,Meet Expectation
Main labor group,Male,Divorced,College,Human Resources,Human Resources,Very High,High,Best,Silver range,Copper range,Meet Expectation
Main labor group,Male,Single,Master,Life Sciences,Developer,Low,High,Bad,Copper range,no exps,Meet Expectation
Middle-aged labor group,Male,Married,College,Life Sciences,Developer,Medium,Very High,Better,Silver range,Silver range,Meet Expectation
Old labor group,Male,Divorced,Below College,Life Sciences,Developer,Very High,Very High,Good,Copper range,no exps,Meet Expectation
Young labor group,Female,Single,Bachelor,Medical,Sales Representative,High,Very High,Good,Copper range,Copper range,Meet Expectation
Young labor group,Female,Single,Below College,Other,Data Scientist,Very High,Low,Good,Copper range,no exps,Meet Expectation
Main labor group,Male,Married,Below College,Life Sciences,Data Scientist,High,Low,Good,Gold range,Silver range,Meet Expectation
Middle-aged labor group,Female,Single,Master,Life Sciences,Sales Representative,Very High,Low,Good,Copper range,Copper range,Meet Expectation
Young labor group,Female,Married,Below College,Life Sciences,Developer,Medium,Low,Best,Copper range,Copper range,Meet Expectation
Main labor group,Female,Divorced,Bachelor,Medical,Developer,High,Medium,Better,Silver range,Copper range,Meet Expectation
Main labor group,Male,Married,Bachelor,Medical,Senior Developer,Very High,Very High,Bad,Silver range,Copper range,Meet Expectation
Main labor group,Female,Single,Bachelor,Life Sciences,Developer,Medium,High,Better,Copper range,Copper range,Meet Expectation
Main labor group,Male,Divorced,Bachelor,Life Sciences,Developer,Medium,Medium,Better,Copper range,no exps,Meet Expectation
Middle-aged labor group,Female,Single,College,Medical,Sales Executive,High,Low,Better,Silver range,Copper range,Meet Expectation
Main labor group,Male,Single,Master,Other,Senior Developer,High,Medium,Better,Silver range,Copper range,Meet Expectation
Old labor group,Female,Divorced,Bachelor,Technical Degree,Senior Developer,High,Very High,Better,Diamond range,no exps,Meet Expectation
Main labor group,Male,Married,Master,Life Sciences,Sales Representative,Medium,Medium,Best,Gold range,Silver range,Meet Expectation
Main labor group,Female,Married,Below College,Life Sciences,Senior Developer,Very High,Very High,Bad,Silver range,Silver range,Meet Expectation
Middle-aged labor group,Male,Married,Master,Medical,Data Scientist,Very High,Low,Good,Gold range,no exps,Meet Expectation
Main labor group,Female,Married,College,Marketing,Sales Executive,Very High,Very High,Good,Silver range,Silver range,Meet Expectation
Main labor group,Male,Single,Master,Other,Developer,Medium,High,Better,Silver range,Copper range,Meet Expectation
Main labor group,Female,Married,Bachelor,Technical Degree,Senior Developer,Very High,Medium,Better,Gold range,Gold range,Meet Expectation
Main labor group,Female,Married,Bachelor,Life Sciences,Senior Developer,High,High,Better,Copper range,no exps,Exceed Expectation
Main labor group,Male,Married,College,Marketing,Sales Representative,High,High,Better,Copper range,no exps,Meet Expectation
Middle-aged labor group,Male,Single,Bachelor,Medical,Developer,Very High,High,Better,Gold range,Gold range,Meet Expectation
Main labor group,Male,Single,Master,Medical,Developer,High,High,Better,Gold range,Silver range,Exceed Expectation
Young labor group,Male,Single,Bachelor,Other,Sales Representative,Very High,Medium,Best,Copper range,no exps,Meet Expectation
Young labor group,Male,Single,Bachelor,Technical Degree,Developer,Low,Medium,Better,Copper range,no exps,Meet Expectation
Main labor group,Female,Married,Bachelor,Medical,Developer,Very High,High,Bad,Silver range,Silver range,Meet Expectation
Main labor group,Male,Married,Below College,Life Sciences,Sales Executive,High,Low,Better,Gold range,Silver range,Meet Expectation
Main labor group,Male,Married,Master,Life Sciences,Sales Executive,Low,High,Bad,Gold range,Copper range,Does not Meet Minimum
Middle-aged labor group,Male,Married,College,Life Sciences,Developer,High,Medium,Good,Silver range,Silver range,Meet Expectation
Main labor group,Female,Married,Bachelor,Technical Degree,Sales Representative,High,Medium,Better,Copper range,Copper range,Meet Expectation
Main labor group,Female,Married,Bachelor,Medical,Sales Executive,High,Medium,Better,Copper range,Copper range,Meet Expectation
Old labor group,Male,Married,College,Life Sciences,Senior Developer,Very High,Medium,Good,Diamond range,Silver range,Meet Expectation
Old labor group,Male,Divorced,College,Medical,Manager,High,High,Best,Diamond range,Gold range,Meet Expectation
Main labor group,Male,Divorced,College,Other,Sales Executive,High,Low,Best,Silver range,Copper range,Meet Expectation
Main labor group,Male,Divorced,Master,Life Sciences,Sales Executive,Very High,Medium,Better,Gold range,Silver range,Meet Expectation
Main labor group,Male,Single,Doctor,Life Sciences,Sales Executive,Low,Very High,Better,Silver range,Silver range,Meet Expectation
Main labor group,Female,Single,Bachelor,Life Sciences,Sales Executive,Medium,Very High,Good,Diamond range,no exps,Meet Expectation
Middle-aged labor group,Male,Divorced,Master,Medical,Senior Developer,High,High,Best,Gold range,Silver range,Meet Expectation
Main labor group,Male,Divorced,Master,Technical Degree,Sales Executive,Low,Very High,Better,Gold range,Silver range,Meet Expectation
Main labor group,Male,Single,College,Medical,Developer,High,Low,Better,Copper range,Copper range,Exceed Expectation
Main labor group,Male,Single,Bachelor,Life Sciences,Manager,Very High,Very High,Better,Silver range,Silver range,Meet Expectation
Main labor group,Female,Single,Bachelor,Life Sciences,Developer,Very High,High,Better,Copper range,no exps,Exceed Expectation
Main labor group,Female,Single,Below College,Life Sciences,Developer,Medium,Low,Better,Copper range,Copper range,Meet Expectation
Middle-aged labor group,Female,Divorced,Master,Medical,Developer,Very High,Very High,Better,Silver range,Copper range,Meet Expectation
Middle-aged labor group,Male,Divorced,College,Medical,Senior Developer,Very High,High,Good,Diamond range,Copper range,Outstanding
Main labor group,Female,Married,Master,Other,Developer,High,Low,Better,Silver range,Copper range,Meet Expectation
Middle-aged labor group,Male,Divorced,Bachelor,Medical,Developer,Low,Medium,Best,Diamond range,Gold range,Meet Expectation
Middle-aged labor group,Male,Married,College,Life Sciences,Developer,Very High,High,Better,Silver range,Silver range,Meet Expectation
Middle-aged labor group,Female,Single,College,Life Sciences,Sales Executive,Very High,High,Better,Silver range,no exps,Meet Expectation
Main labor group,Female,Married,Bachelor,Life Sciences,Developer,Low,Medium,Better,Silver range,Copper range,Meet Expectation
Middle-aged labor group,Male,Married,Bachelor,Life Sciences,Developer,Very High,Very High,Better,Diamond range,Gold range,Meet Expectation
Main labor group,Male,Married,Below College,Medical,Senior Manager R&D,High,Medium,Good,Copper range,Copper range,Meet Expectation
Main labor group,Male,Divorced,Master,Other,Laboratory Technician,High,Very High,Bad,Copper range,Copper range,Meet Expectation
Main labor group,Female,Married,Below College,Life Sciences,Manufacturing Director,High,High,Better,Copper range,Copper range,Meet Expectation
Young labor group,Male,Single,College,Life Sciences,Research Scientist,Medium,Very High,Better,no exps,no exps,Meet Expectation
Old labor group,Female,Married,Bachelor,Technical Degree,Senior Manager R&D,High,High,Better,Diamond range,Silver range,Meet Expectation
Main labor group,Female,Divorced,Master,Medical,Healthcare Representative,High,High,Good,Gold range,Silver range,Meet Expectation
Main labor group,Female,Married,College,Life Sciences,Research Director,Medium,High,Good,Silver range,Silver range,Needs Improvement
Main labor group,Male,Married,College,Medical,Senior Manager R&D,Very High,Medium,Better,Silver range,Silver range,Meet Expectation
Young labor group,Male,Married,Below College,Life Sciences,Laboratory Technician,Medium,Low,Good,Copper range,Copper range,Does not Meet Minimum
Middle-aged labor group,Male,Single,Bachelor,Life Sciences,Healthcare Representative,Low,Very High,Better,Gold range,Copper range,Does not Meet Minimum
Middle-aged labor group,Male,Single,Master,Life Sciences,Senior Manager R&D,High,Medium,Better,Diamond range,Gold range,Meet Expectation
Middle-aged labor group,Female,Single,College,Medical,Manufacturing Director,Very High,Medium,Better,Silver range,Copper range,Meet Expectation
Main labor group,Female,Married,Below College,Life Sciences,Manufacturing Director,Very High,High,Better,Diamond range,Silver range,Meet Expectation
Main labor group,Female,Married,Master,Life Sciences,Senior Manager R&D,Low,Medium,Better,Copper range,Copper range,Does not Meet Minimum
Main labor group,Male,Divorced,Bachelor,Other,Laboratory Technician,Medium,Low,Good,Copper range,Copper range,Does not Meet Minimum
Middle-aged labor group,Male,Married,College,Marketing,Manager,Very High,Medium,Best,Diamond range,no exps,Exceed Expectation
Middle-aged labor group,Male,Married,Bachelor,Life Sciences,Laboratory Technician,Low,Medium,Better,Silver range,no exps,Meet Expectation
Old labor group,Female,Single,Bachelor,Life Sciences,Manufacturing Director,High,Low,Better,Diamond range,Copper range,Meet Expectation
Old labor group,Male,Married,Master,Medical,Healthcare Representative,High,Very High,Better,Gold range,Silver range,Meet Expectation
Middle-aged labor group,Female,Divorced,Below College,Life Sciences,Research Director,Medium,Medium,Better,Diamond range,Gold range,Needs Improvement
Main labor group,Male,Single,Master,Life Sciences,Sales Executive,Medium,High,Better,Gold range,no exps,Meet Expectation
Main labor group,Male,Single,College,Medical,Sales Executive,Medium,Very High,Better,Silver range,Copper range,Does not Meet Minimum
Old labor group,Female,Married,Below College,Marketing,Manager,Low,Very High,Better,Diamond range,Gold range,Needs Improvement
Middle-aged labor group,Female,Married,Bachelor,Medical,Sales Executive,Very High,High,Better,Diamond range,Gold range,Meet Expectation
Middle-aged labor group,Female,Married,Bachelor,Life Sciences,Sales Executive,Very High,Low,Better,Gold range,Silver range,Meet Expectation
Main labor group,Female,Single,Bachelor,Medical,Manufacturing Director,Very High,High,Better,Diamond range,Silver range,Meet Expectation
Main labor group,Female,Single,Below College,Life Sciences,Sales Representative,Medium,Very High,Good,Copper range,Copper range,Does not Meet Minimum
Middle-aged labor group,Female,Married,College,Life Sciences,Manager,Very High,Medium,Best,Diamond range,Copper range,Meet Expectation
Main labor group,Female,Single,Master,Medical,Senior Manager R&D,Very High,Medium,Better,Silver range,Silver range,Meet Expectation
Main labor group,Male,Divorced,Master,Marketing,Sales Executive,Medium,Very High,Good,Gold range,Copper range,Meet Expectation
Old labor group,Male,Married,College,Technical Degree,Manager,Medium,High,Bad,Gold range,Copper range,Meet Expectation
Middle-aged labor group,Male,Single,Master,Medical,Human Resources,Medium,Low,Better,Silver range,Copper range,Meet Expectation
Main labor group,Male,Divorced,Bachelor,Other,Laboratory Technician,Low,Medium,Good,Silver range,no exps,Meet Expectation
Main labor group,Male,Married,Bachelor,Life Sciences,Research Scientist,Low,Medium,Better,Silver range,Copper range,Does not Meet Minimum
Main labor group,Male,Married,Below College,Medical,Sales Representative,Very High,Medium,Better,Copper range,no exps,Exceed Expectation
Main labor group,Male,Married,Master,Other,Senior Manager R&D,High,Low,Better,Silver range,Copper range,Meet Expectation
Middle-aged labor group,Male,Married,Master,Medical,Senior Manager R&D,Medium,Very High,Good,Diamond range,Copper range,Meet Expectation
Main labor group,Female,Single,Bachelor,Other,Healthcare Representative,Very High,Low,Good,Silver range,Copper range,Meet Expectation
Main labor group,Male,Married,Bachelor,Marketing,Sales Executive,High,Medium,Good,Silver range,Silver range,Meet Expectation
Main labor group,Female,Divorced,Below College,Medical,Research Scientist,Low,High,Better,Copper range,Copper range,Does not Meet Minimum
Old labor group,Female,Married,Master,Life Sciences,Sales Executive,High,Medium,Better,Gold range,Copper range,Meet Expectation
Old labor group,Female,Married,Bachelor,Medical,Senior Manager R&D,Low,Medium,Better,Gold range,Copper range,Meet Expectation
Main labor group,Female,Single,Doctor,Medical,Manufacturing Director,Very High,Medium,Good,Gold range,Silver range,Meet Expectation
Old labor group,Male,Single,Below College,Medical,Manager,High,Medium,Best,Diamond range,Silver range,Exceed Expectation
Middle-aged labor group,Male,Divorced,Bachelor,Medical,Sales Executive,High,High,Better,Gold range,no exps,Meet Expectation
Young labor group,Female,Single,Bachelor,Marketing,Sales Representative,Very High,Medium,Better,Copper range,Copper range,Meet Expectation
Young labor group,Female,Single,Bachelor,Life Sciences,Senior Manager R&D,High,Low,Good,Copper range,no exps,Meet Expectation
Middle-aged labor group,Female,Divorced,Master,Life Sciences,Senior Manager R&D,Very High,Low,Better,Gold range,Gold range,Exceed Expectation
Main labor group,Male,Single,College,Technical Degree,Senior Manager R&D,Medium,Low,Good,Silver range,Silver range,Needs Improvement
Main labor group,Male,Married,College,Medical,Laboratory Technician,Low,Low,Better,Silver range,Copper range,Does not Meet Minimum
Main labor group,Male,Married,Bachelor,Other,Senior Manager R&D,High,High,Good,Silver range,Copper range,Meet Expectation
Main labor group,Female,Married,Below College,Life Sciences,Healthcare Representative,High,Low,Good,Gold range,Silver range,Meet Expectation
Main labor group,Male,Married,Master,Technical Degree,Senior Manager R&D,Low,Very High,Better,Gold range,Silver range,Needs Improvement
Main labor group,Male,Married,Doctor,Life Sciences,Senior Manager R&D,Low,Very High,Better,Copper range,Copper range,Does not Meet Minimum
Old labor group,Male,Married,Below College,Life Sciences,Manager R&D,Very High,Medium,Better,Diamond range,Copper range,Meet Expectation
Middle-aged labor group,Male,Married,College,Medical,Human Resources,Medium,Very High,Better,Diamond range,Silver range,Needs Improvement
Main labor group,Female,Single,Master,Medical,Research Scientist,Low,Medium,Better,Gold range,Silver range,Needs Improvement
Main labor group,Male,Single,Below College,Life Sciences,Healthcare Representative,Low,High,Good,Silver range,Copper range,Meet Expectation
Main labor group,Male,Married,Below College,Technical Degree,Manager R&D,Very High,Medium,Best,Silver range,Silver range,Meet Expectation
Main labor group,Male,Divorced,Bachelor,Medical,Manager R&D,Low,High,Good,Copper range,Copper range,Exceed Expectation
Middle-aged labor group,Male,Married,College,Medical,Manager,Very High,Very High,Better,Diamond range,Silver range,Meet Expectation
Main labor group,Male,Divorced,Bachelor,Medical,Manager R&D,Low,Low,Better,Copper range,no exps,Meet Expectation
Middle-aged labor group,Male,Single,Master,Other,Sales Executive,Very High,Very High,Better,Copper range,no exps,Meet Expectation
Main labor group,Female,Married,Bachelor,Life Sciences,Sales Executive,Very High,High,Better,Copper range,Copper range,Meet Expectation
Main labor group,Male,Married,Master,Life Sciences,Research Scientist,High,Very High,Better,Silver range,no exps,Meet Expectation
Middle-aged labor group,Male,Single,Master,Medical,Manager R&D,Low,High,Good,Diamond range,Copper range,Needs Improvement
Middle-aged labor group,Female,Married,Master,Life Sciences,Sales Executive,Medium,Very High,Better,Gold range,Silver range,Needs Improvement
Old labor group,Male,Single,Master,Life Sciences,Healthcare Representative,Medium,Very High,Better,Gold range,Silver range,Needs Improvement
Main labor group,Male,Divorced,Master,Marketing,Sales Executive,High,Medium,Better,Silver range,Silver range,Meet Expectation
Main labor group,Female,Divorced,Master,Life Sciences,Manager R&D,High,Low,Better,Gold range,Copper range,Exceed Expectation
Main labor group,Female,Divorced,Bachelor,Medical,Manufacturing Director,Very High,Medium,Good,Silver range,Silver range,Meet Expectation
Middle-aged labor group,Male,Married,Below College,Marketing,Manager,Low,Very High,Better,Diamond range,Silver range,Needs Improvement
Main labor group,Male,Single,College,Marketing,Sales Executive,Very High,High,Better,Silver range,no exps,Meet Expectation
Main labor group,Male,Divorced,Bachelor,Life Sciences,Healthcare Representative,Low,Very High,Better,Diamond range,Silver range,Needs Improvement
Main labor group,Male,Single,Bachelor,Medical,Manager R&D,High,Low,Best,Diamond range,Silver range,Meet Expectation
Main labor group,Male,Single,Bachelor,Life Sciences,Laboratory Technician,High,High,Good,Silver range,Copper range,Meet Expectation
Main labor group,Male,Single,Master,Life Sciences,Manufacturing Director,Low,Low,Better,Gold range,Silver range,Meet Expectation
Main labor group,Male,Married,Bachelor,Life Sciences,Sales Representative,High,Low,Better,Copper range,Copper range,Meet Expectation
Main labor group,Male,Married,Below College,Life Sciences,Manager R&D,Low,Low,Bad,Silver range,Copper range,Meet Expectation
Main labor group,Male,Divorced,College,Marketing,Sales Executive,Very High,Very High,Better,Copper range,Copper range,Meet Expectation
Middle-aged labor group,Male,Married,Master,Technical Degree,Sales Executive,Very High,Medium,Better,Diamond range,Silver range,Meet Expectation
Main labor group,Male,Single,College,Life Sciences,Manager R&D,Very High,Very High,Good,Copper range,Copper range,Meet Expectation
Main labor group,Female,Divorced,Bachelor,Life Sciences,Research Scientist,Very High,Very High,Good,Silver range,Copper range,Meet Expectation
Middle-aged labor group,Male,Single,Bachelor,Medical,Laboratory Technician,Medium,Low,Better,Gold range,no exps,Meet Expectation
Main labor group,Male,Married,Below College,Medical,Manufacturing Director,Medium,High,Good,Silver range,Silver range,Needs Improvement
Main labor group,Male,Divorced,Bachelor,Life Sciences,Research Scientist,High,Very High,Better,Copper range,Copper range,Meet Expectation
